"drug_name","drug_id","target","target_pathway","ic50_effect_size","feature_name","TISSUE TYPE "
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.25396767860916","ASPM_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.58036516709052","ASXL1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.084324753509431","ASXL2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.17062076556739","ATM_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.002316072469018","ATRX_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.54456611312239","ATR_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.078775031102063","AXIN1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.4075637566366","AXIN2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.47811984559276","B2M_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.15776533591724","BAP1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.030276293107561","BAZ2B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.11653009739141","BCLAF1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.42995651579729","BCOR_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.67471610971275","BCR.ABL_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.068871592098109","BLM_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.60763158312357","BMPR2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.32252119709487","BNC2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.18656213400416","BPTF_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.070173774331556","BRAF_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.28575936330482","BRCA1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.078819326414947","BRCA2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.041121523582634","BRWD1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","9.1849137446189E-5","C15orf55_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.011312165796952","CAD_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.21128722721092","CASP8_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.092397426783352","CCAR1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.21954630996641","CCND1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.059524186635934","CDH1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.10627616860093","CDK12_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.62026256721834","CDKN1A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.37300618552332","CDKN1B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.33756025258733","CDKN2A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.080129533563309","CEP290_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.43299603554481","CHD3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.063525307515037","CHD4_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.14251885485699","CHD6_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.15712134547348","CHD8_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.40548974048397","CHD9_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.066824248106119","CHEK2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.5480788368403","CIC_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.38054676028892","CLASP2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.42303484332331","CLSPN_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.26921665812177","CNOT1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.15239969392237","CNOT3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.12204581220478","COL1A1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.49053504863235","CREBBP_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.45449645322484","CSDE1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.38119934395796","CTCF_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.041505390485412","CTNNB1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.11444829463064","CTNND1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.47015842164885","CUL2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.10300546297218","CUX1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.76875271597651","CYLD_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.74020734384433","DDX3X_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.050149035454833","DHX15_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.83807627641359","DHX9_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.66359715061918","DICER1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.51426054998747","DLG1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.26016883825179","DNMT3A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.11449331089447","EGFR_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.64105338783798","EIF4G1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.076565805988983","EIF4G3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.022982320767695","ELF1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.23251512479906","ELF3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.2959031128408","EP300_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.086654196821978","EPHA2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.11119217234853","EPHA4_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.30100956104366","ERBB2IP_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.13402640696793","ERBB2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.24598590050258","ERBB3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.4104899189619","EWSR1.FLI1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.41596870302661","EWSR1.X_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.49978301091401","EZH2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.53943621487852","F8_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.13983102186036","FAM123B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.097827772260867","FAT1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.21698520847031","FAT2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.12035617343327","FBXW7_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.007355842106892","FGFR2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.56395968706191","FLT3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.32174338406476","FN1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.10050853436133","FOXP1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.024049516011622","FTSJD1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.10775972485462","FXR1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.73416280441156","GATA3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.94708915545922","GNAS_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.30132732731926","GPS2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.37511720269921","HDAC9_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.1895309456767","HGF_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.3867764043398","HLA.A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","1.130557055457","HLA.B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.29843982730577","HNF1A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.16958851024537","HRAS_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.69672872574085","IDH1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.27354618557847","INPP4A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.15596911711135","INPPL1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.68646937003899","IREB2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.30547995987795","ITSN1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.1687995042417","KALRN_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.0098766784633808","KAT6B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.6468629279554","KDM5C_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.031550472522735","KDM6A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.11447174234645","KDR_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.55568015761894","KEAP1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.016087762245362","KIT_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.16163647157373","KRAS_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.025706871550266","LAMA2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.17510030377611","LARP4B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.073576367313672","LIMA1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.24474381632958","LNPEP_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.027454358112881","LPHN2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.53323054612569","LRP6_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.71154600207338","LRPPRC_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.28259003842202","MACF1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.23272730391899","MAGI2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.12036608268249","MAP2K4_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.47572620464116","MAP3K1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.07708854141996","MAP3K4_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.58053676051453","MAP4K3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.25755434671385","MECOM_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.49019089047382","MED12_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.25494813288997","MED23_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.1484129375105","MED24_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.80641598676611","MEN1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.15238343285337","MET_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.035224998943096","MGA_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.020439414650126","MKL1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.013710453987472","MLH1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.076196216447851","MLH3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.30700500145451","MLL2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.048942310606132","MLL3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.37233522133309","MLLT4_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.55418778706921","MLL_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.24214531916805","MSR1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.73679958739231","MTOR_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.62113671900806","MYC_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.37943550206951","MYH11_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.17932900514047","MYH14_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.21319626787415","MYH9_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.23708945419551","NCOR1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.29009330617744","NCOR2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.078224338453054","NF1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.28065646884662","NF2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.30604357835012","NFE2L2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.43760762841109","NOTCH1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.22386839061054","NOTCH2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.48848388782887","NR4A2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.19183230625391","NRAS_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.099566770138658","NSD1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.10428035981746","NUP93_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.1666017471063","NUP98_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.22194888653359","PABPC3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.26585058457187","PBRM1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.45344123730001","PCDH18_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.39153444342779","PCSK5_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.013971212850394","PGR_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.42575583698061","PHF6_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.0016089638982266","PHLPP1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.57417391162337","PIK3C2B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.071163141516842","PIK3CA_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.45730239651359","PIK3CB_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.098392863148852","PIK3R1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.2439441568853","PLCB1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.2992968300303","PLXNA1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.14416424482109","PLXNB2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.10898569079835","POLR2B_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.18041113263815","PPP2R1A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.4109850371692","PSIP1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.2268088909959","PTCH1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.065385247581273","PTEN_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.11781698765039","PTPN11_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.1078942391816","PTPRU_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.22382026256904","RAC1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.0081660149307306","RAD21_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.19888506611365","RASA1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.56987866783502","RASA2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.10089485323902","RB1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.79217474695933","RBM10_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.15618660967774","RBM5_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.49194412264099","RGS3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.40806742134687","RHOA_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.2567722240276","RNF43_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.25920763904171","ROBO2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","1.0121353667149","RPGR_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.29772516168587","RPL5_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.59184006807388","RTN4_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.30408622630314","RUNX1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.49813008231689","SACS_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.4800196451523","SCAI_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.18197871319448","SEC31A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.50192338164212","SETD2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.27264229926976","SETDB1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.28401912913878","SIN3A_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.7543013743313","SMAD2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.1910118790672","SMAD4_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.21176214135367","SMARCA1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.045979468479831","SMARCA4_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.12053525383409","SMARCB1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.19687959148177","SOS1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.091675654231891","SOS2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.5387039703636","SOX9_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.67616830093958","SPTAN1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.14199397642425","SRGAP1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.68849270304622","SRGAP3_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.23205885102324","STAG1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.52751636650872","STAG2_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.15071734313316","STIP1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.034820199791166","STK11_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.028424517574291","SVEP1_mut","PANCANCER"
"5-Fluorouracil","1073","Antimetabolite (DNA & RNA)","Other","0.13151821518063","TAF1_mut","PANCANCER"
